time,step-size,{control1}.controlInstance1.w_1,{control1}.controlInstance1.w_2,{control1}.controlInstance1.w_3,{control1}.controlInstance1.w_4,{control2}.control2Instance.w_1,{control2}.control2Instance.w_2,{control2}.control2Instance.w_3,{control2}.control2Instance.w_4,{control3}.control3Instance.w_1,{control3}.control3Instance.w_2,{control3}.control3Instance.w_3,{control3}.control3Instance.w_4,{control4}.control4Instance.w_1,{control4}.control4Instance.w_2,{control4}.control4Instance.w_3,{control4}.control4Instance.w_4,{control5}.control5Instance.w_1,{control5}.control5Instance.w_2,{control5}.control5Instance.w_3,{control5}.control5Instance.w_4,{coordination1}.coordinationInstance1.x_d,{coordination1}.coordinationInstance1.y_d,{coordination1}.coordinationInstance1.z_d,{coordination2}.coordination2Instance.x_d,{coordination2}.coordination2Instance.y_d,{coordination2}.coordination2Instance.z_d,{coordination3}.coordination3Instance.x_d,{coordination3}.coordination3Instance.y_d,{coordination3}.coordination3Instance.z_d,{coordination4}.coordination4Instance.x_d,{coordination4}.coordination4Instance.y_d,{coordination4}.coordination4Instance.z_d,{coordination5}.coordination5Instance.x_d,{coordination5}.coordination5Instance.y_d,{coordination5}.coordination5Instance.z_d,{plant}.plantInstance1.dphi,{plant}.plantInstance1.dpsi,{plant}.plantInstance1.dtheta,{plant}.plantInstance1.dx,{plant}.plantInstance1.dy,{plant}.plantInstance1.dz,{plant}.plantInstance1.phi,{plant}.plantInstance1.psi,{plant}.plantInstance1.theta,{plant}.plantInstance1.x,{plant}.plantInstance1.y,{plant}.plantInstance1.z,{plant}.plantInstance2.dphi,{plant}.plantInstance2.dpsi,{plant}.plantInstance2.dtheta,{plant}.plantInstance2.dx,{plant}.plantInstance2.dy,{plant}.plantInstance2.dz,{plant}.plantInstance2.phi,{plant}.plantInstance2.psi,{plant}.plantInstance2.theta,{plant}.plantInstance2.x,{plant}.plantInstance2.y,{plant}.plantInstance2.z,{plant}.plantInstance3.dphi,{plant}.plantInstance3.dpsi,{plant}.plantInstance3.dtheta,{plant}.plantInstance3.dx,{plant}.plantInstance3.dy,{plant}.plantInstance3.dz,{plant}.plantInstance3.phi,{plant}.plantInstance3.psi,{plant}.plantInstance3.theta,{plant}.plantInstance3.x,{plant}.plantInstance3.y,{plant}.plantInstance3.z,{plant}.plantInstance4.dphi,{plant}.plantInstance4.dpsi,{plant}.plantInstance4.dtheta,{plant}.plantInstance4.dx,{plant}.plantInstance4.dy,{plant}.plantInstance4.dz,{plant}.plantInstance4.phi,{plant}.plantInstance4.psi,{plant}.plantInstance4.theta,{plant}.plantInstance4.x,{plant}.plantInstance4.y,{plant}.plantInstance4.z,{plant}.plantInstance5.dphi,{plant}.plantInstance5.dpsi,{plant}.plantInstance5.dtheta,{plant}.plantInstance5.dx,{plant}.plantInstance5.dy,{plant}.plantInstance5.dz,{plant}.plantInstance5.phi,{plant}.plantInstance5.psi,{plant}.plantInstance5.theta,{plant}.plantInstance5.x,{plant}.plantInstance5.y,{plant}.plantInstance5.z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
0.05,0.05,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006524371231840637,0.006385508663885809,0.006246646095930981,0.006385508663885809,0.0061077835279761536,0.006385508663885809,0.006663233799795464,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.0,0.0,1.0,1.0,0.0,1.0,2.5,0.0,1.0,5.5,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
0.1,0.05,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006454939947863223,0.006385508663885809,0.006316077379908395,0.006385508663885809,0.00603835224399874,0.006385508663885809,0.006732665083772878,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.006385508663885809,0.0,0.0,1.0,1.0,0.0,1.0,2.5,0.0,1.0,5.5,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008000000119952607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000119952607,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.013047909948565434,0.0,0.0,0.008000000119952607,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.026095819897130786,0.0,0.0,0.008000000119952607,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000119952607,0.0,0.0,0.0,10.0,0.0,0.0
0.15000000000000002,0.05,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006143974574858993,0.006130088317306644,0.0061162020597542955,0.006130088317306644,0.005894021950269705,0.006130088317306644,0.006366154684343583,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.006130088317306644,0.0,0.0,1.0,1.0,0.0,1.0,2.5,0.0,1.0,5.5,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016000000239905214,0.0,0.0,0.0,0.0,0.0,4.0000000599763036E-4,0.0,0.0,0.0,0.0,0.0,0.016000000239905214,0.0,0.0,0.0,1.0,0.0,4.0000000599763036E-4,0.0,0.0,-0.019571864922848112,0.0,0.0,0.016000000239905214,0.0,0.0,-6.523954974282718E-4,3.0,0.0,4.0000000599763036E-4,0.0,0.0,0.05871559476854425,0.0,0.0,0.016000000239905214,0.0,0.0,0.0013047909948565393,3.0,0.0,4.0000000599763036E-4,0.0,0.0,0.0,0.0,0.0,0.016000000239905214,0.0,0.0,0.0,10.0,0.0,4.0000000599763036E-4
0.2,0.05,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005852673008920936,0.005872113767223627,0.005891554525526317,0.005872113767223627,0.005786018971534363,0.005872113767223627,0.00595820856291289,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.005872113767223627,0.0,0.0,1.0,1.0,0.0,1.0,2.5,0.0,1.0,5.5,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023680000355029984,0.0,0.0,0.0,0.0,0.0,0.0012000000179928911,0.0,0.0,0.0,0.0,0.0,0.023680000355029984,0.0,0.0,0.0,1.0,0.0,0.0012000000179928911,0.0,0.0,-0.02087665598882186,-3.1999999148856737E-4,0.0,0.023680000355029984,0.0,0.0,-0.0016309887435706774,3.0,0.0,0.0012000000179928911,0.0,0.0,0.08089704182333986,6.399999829771326E-4,0.0,0.023680000355029984,0.0,0.0,0.004240570733283752,3.0,0.0,0.0012000000179928911,0.0,0.0,0.0,0.0,0.0,0.023680000355029984,0.0,0.0,0.0,10.0,0.0,0.0012000000179928911
0.25,0.05,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.005588252632189663,0.0056218018275008734,0.005655351022812084,0.0056218018275008734,0.005655573199430008,0.0056218018275008734,0.005588030455571739,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0056218018275008734,0.0,0.0,1.0,1.0,0.0,1.0,2.5,0.0,1.0,5.5,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.031036800465230954,0.0,0.0,0.0,0.0,0.0,0.0023840000357443904,0.0,0.0,0.0,0.0,0.0,0.031036800465230954,0.0,0.0,0.0,1.0,0.0,0.0023840000357443904,0.0,0.0,-0.01904994870981023,-0.0011199999702099846,0.0,0.031036800465230954,0.0,0.0,-0.00267482154301177,2.9999840000004254,0.0,0.0023840000357443904,0.0,0.0,0.08898674632570135,0.002719999927652813,0.0,0.031036800465230954,0.0,0.0,0.008285422824450744,3.0000319999991487,0.0,0.0023840000357443904,0.0,0.0,0.0,0.0,0.0,0.031036800465230954,0.0,0.0,0.0,10.0,0.0,0.0023840000357443904
0.3,0.05,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005344139066014535,0.005379356834418712,0.005414574602822889,0.005379356834418712,0.005483452654847239,0.005379356834418712,0.005275261013990186,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.005379356834418712,0.0,0.0,1.0,1.0,0.0,1.0,2.5,0.0,1.0,5.5,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03808000057060647,0.0,0.0,0.0,0.0,0.0,0.0039358400590059385,0.0,0.0,0.0,0.0,0.0,0.03808000057060647,0.0,0.0,0.0,1.0,0.0,0.0039358400590059385,0.0,0.0,-0.01589757377022313,-0.002431999937057258,0.0,0.03808000057060647,0.0,0.0,-0.0036273189785022814,2.999928000001915,0.0,0.0039358400590059385,0.0,0.0,0.08581349505820213,0.006783999823045904,0.0,0.03808000057060647,0.0,0.0,0.012734760140735813,3.0001679999955315,0.0,0.0039358400590059385,0.0,0.0,0.0,0.0,0.0,0.03808000057060647,0.0,0.0,0.0,10.0,0.0,0.0039358400590059385
0.35,0.05,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005113749094272166,0.005144575473384282,0.005175401852496397,0.005144575473384282,0.005275885026024864,0.005144575473384282,0.005013265920743699,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.005144575473384282,0.0,0.0,1.0,1.125,0.0,1.0,2.875,0.0,1.0,5.875,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04481945667126257,0.0,0.0,0.0,0.0,0.0,0.005839840087536262,0.0,0.0,0.0,0.0,0.0,0.04481945667126257,0.0,0.0,0.0,1.0,0.0,0.005839840087536262,0.0,0.0,-0.012588415099928247,-0.0042111998960126275,0.0,0.04481945667126257,0.0,0.0,-0.004422197667013438,2.9998064000050624,0.0,0.005839840087536262,0.0,0.0,0.07603236461406916,0.013030399672076821,0.0,0.04481945667126257,0.0,0.0,0.01702543489364592,3.000507199986684,0.0,0.005839840087536262,0.0,0.0,0.0,0.0,0.0,0.04481945667126257,0.0,0.0,0.0,10.0,0.0,0.005839840087536262
0.39999999999999997,0.05,0.004917243191309321,0.004917243191309321,0.004917243191309321,0.004917243191309321,0.004899885370314968,0.004917243191309321,0.004934601012303674,0.004917243191309321,0.004840410643195805,0.004917243191309321,0.004994075739422837,0.004917243191309321,0.004995755864463521,0.004917243191309321,0.004838730518155121,0.004917243191309321,0.004917243191309321,0.004917243191309321,0.004917243191309321,0.004917243191309321,0.0,0.0,1.0,1.125,0.0,1.0,2.875,0.0,1.0,5.875,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05126477004730523,0.0,0.0,0.0,0.0,0.0,0.008080812921099391,0.0,0.0,0.0,0.0,0.0,0.05126477004730523,0.0,0.0,0.0,1.0,0.0,0.008080812921099391,0.0,0.0,-0.009691883481514996,-0.006380287851682719,0.0,0.05126477004730523,0.0,0.0,-0.00505161842200985,2.9995958400102616,0.0,0.008080812921099391,0.0,0.0,0.06369415682002874,0.021381375487410145,0.0,0.05126477004730523,0.0,0.0,0.02082705312434938,3.0011587199702876,0.0,0.008080812921099391,0.0,0.0,0.0,0.0,0.0,0.05126477004730523,0.0,0.0,0.0,10.0,0.0,0.008080812921099391
0.44999999999999996,0.05,0.004697150420910578,0.004697150420910578,0.004697150420910578,0.004697150420910578,0.004679792599916225,0.004697150420910578,0.004714508241904931,0.004697150420910578,0.004625754264350884,0.004697150420910578,0.0047685465774702715,0.004697150420910578,0.004761394955714642,0.004697150420910578,0.004632905886106513,0.004697150420910578,0.004697150420910578,0.004697150420910578,0.004697150420910578,0.004697150420910578,0.0,0.0,1.0,1.125,0.0,1.0,2.875,0.0,1.0,5.875,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05742527317883997,0.0,0.0,0.0,0.0,0.0,0.010644051423464652,0.0,0.0,0.0016309887435706487,0.0,0.0,0.05742527317883997,0.0,0.0,0.0,1.0,0.0,0.010644051423464652,0.0,0.0,-0.002472485312023466,-0.00885810668767855,0.0,0.05742527317883997,0.0,0.0,-0.0055362125960856,2.9992768256176774,0.0,0.010644051423464652,0.0,0.0,0.05631688946695488,0.031597045044903516,0.0,0.05742527317883997,0.0,0.0,0.024011760965350817,3.002227788744658,0.0,0.010644051423464652,0.0,0.0,0.0,0.0,0.0,0.05742527317883997,0.0,0.0,0.0,10.0,0.0,0.010644051423464652
0.49999999999999994,0.05,0.004484093111575472,0.004484093111575472,0.004484093111575472,0.004484093111575472,0.004473678418884251,0.004484093111575472,0.004494507804266692,0.004484093111575472,0.004437539452999855,0.004484093111575472,0.004530646770151088,0.004484093111575472,0.0045512885401876,0.004484093111575472,0.004416897682963343,0.004484093111575472,0.004484093111575472,0.004484093111575472,0.004484093111575472,0.004484093111575472,0.0,0.0,1.0,1.125,0.0,1.0,2.875,0.0,1.0,5.875,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06331003599237173,0.0,0.0,0.0,0.0,0.0,0.013515315082406651,0.0,0.0,0.0032619774871412975,0.0,0.0,0.06331003599237173,0.0,0.0,8.154943717853244E-5,1.0,0.0,0.013515315082406651,0.0,0.0,0.00423609451034883,-0.011573618966058538,0.0,0.06331003599237173,0.0,0.0,-0.005659836861686773,2.9988339202832934,0.0,0.013515315082406651,0.0,0.0,0.050280295753063635,0.043374813798408095,0.0,0.06331003599237173,0.0,0.0,0.02682760543869856,3.0038076409969032,0.0,0.013515315082406651,0.0,0.0,0.0,0.0,0.0,0.06331003599237173,0.0,0.0,0.0,10.0,0.0,0.013515315082406651
0.5499999999999999,0.05,0.004277872615751117,0.004277872615751117,0.004277872615751117,0.004277872615751117,0.004275095364193343,0.004277872615751117,0.0042806498673088915,0.004277872615751117,0.004256877963029501,0.004277872615751117,0.004298867268472733,0.004277872615751117,0.004351741200768257,0.004277872615751117,0.004204004030733977,0.004277872615751117,0.004277872615751117,0.004277872615751117,0.004277872615751117,0.004277872615751117,0.0,0.0,1.0,1.125,0.0,1.0,2.875,0.0,1.0,5.875,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06892787277229281,0.0,0.0,0.0,0.0,0.0,0.01668081688202524,0.0,0.0,0.004240570742173381,3.999999893607017E-5,0.0,0.06892787277229281,0.0,0.0,2.446483115355973E-4,1.0,0.0,0.01668081688202524,0.0,0.0,0.008610404692114288,-0.0143497689467159,0.0,0.06892787277229281,0.0,0.0,-0.005448032136169331,2.9982552393349904,0.0,0.01668081688202524,0.0,0.0,0.04396642791668949,0.05653375426608974,0.0,0.06892787277229281,0.0,0.0,0.02934162022635174,3.0059763816868235,0.0,0.01668081688202524,0.0,0.0,0.0,0.0,0.0,0.06892787277229281,0.0,0.0,0.0,10.0,0.0,0.01668081688202524
